player,team,position,games,points,assists,rebounds,steals,blocks,fg_percent,three_percent,ft_percent,salary_millions,age,country
LeBron James,Lakers,SF,70,25.7,7.3,7.5,1.3,0.6,54.0,35.0,76.0,47.0,39,USA
Stephen Curry,Warriors,PG,74,26.4,5.1,4.5,0.9,0.3,45.0,40.8,92.0,48.0,36,USA
Giannis Antetokounmpo,Bucks,PF,73,31.1,6.5,11.5,1.2,1.4,61.0,27.0,66.0,45.6,29,Greece
Nikola Jokic,Nuggets,C,79,26.4,9.0,12.4,1.3,0.9,58.3,34.9,81.7,47.6,29,Serbia
Luka Doncic,Mavericks,PG,70,33.9,9.8,9.2,1.5,0.5,48.7,38.2,78.6,40.1,25,Slovenia
Joel Embiid,76ers,C,66,33.1,4.2,10.2,1.0,1.7,53.9,33.8,88.3,47.6,30,Cameroon
Shai Gilgeous-Alexander,Thunder,PG,75,31.4,6.2,5.5,2.0,0.9,53.5,35.3,87.4,35.0,25,Canada
Jayson Tatum,Celtics,SF,74,26.9,4.9,8.1,1.0,0.6,47.5,37.2,83.0,32.6,26,USA
Kevin Durant,Suns,PF,75,27.1,5.0,6.6,0.7,1.2,52.3,41.3,85.6,47.6,35,USA
Anthony Davis,Lakers,C,76,24.7,3.5,12.6,1.2,2.3,54.5,27.1,81.6,40.6,31,USA
Domantas Sabonis,Kings,C,82,19.1,8.2,13.7,0.9,0.6,59.3,37.9,74.2,30.6,27,Lithuania
Anthony Edwards,Wolves,SG,79,25.9,5.1,5.4,1.3,0.5,46.1,35.7,83.6,44.3,22,USA
Damian Lillard,Bucks,PG,73,24.3,7.0,4.4,1.0,0.3,42.4,35.4,92.0,45.6,33,USA
Victor Wembanyama,Spurs,C,71,21.4,3.9,10.6,1.2,3.6,46.5,32.5,79.5,12.2,20,France
Jimmy Butler,Heat,SF,60,20.8,5.0,5.3,1.3,0.3,49.9,41.4,85.8,45.2,34,USA
Tyrese Haliburton,Pacers,PG,69,20.1,10.9,3.9,1.2,0.7,48.0,36.4,85.5,42.2,24,USA
Jalen Brunson,Knicks,PG,77,28.7,6.7,3.6,0.9,0.2,47.9,40.1,84.7,26.4,27,USA
Bam Adebayo,Heat,C,71,19.8,3.9,10.1,1.2,0.8,53.4,32.0,75.5,32.6,26,USA
Zion Williamson,Pelicans,PF,70,22.9,5.0,5.8,1.1,0.7,57.0,33.3,70.2,33.3,23,USA
LaMelo Ball,Hornets,PG,58,23.9,8.0,5.1,1.8,0.6,43.3,35.5,86.7,20.5,22,USA
